"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 16 18:13:38 BDT 2024","Tue Jul 16 18:13:39 BDT 2024","374","tests","test_Search_Product","TestSearchProduct","","","test_search_without_entering_any_product",""
"passed","Tue Jul 16 18:13:19 BDT 2024","Tue Jul 16 18:13:19 BDT 2024","441","tests","test_Search_Product","TestSearchProduct","","","test_search_for_a_valid_product",""
"passed","Tue Jul 16 18:13:12 BDT 2024","Tue Jul 16 18:13:13 BDT 2024","1719","tests","test_Register","TestRegister","","","test_register_without_any_input",""
"passed","Tue Jul 16 18:12:00 BDT 2024","Tue Jul 16 18:12:02 BDT 2024","1834","tests","test_Login","TestLogin","","","test_login_without_entering_email",""
"passed","Tue Jul 16 18:10:59 BDT 2024","Tue Jul 16 18:11:02 BDT 2024","2297","tests","test_Login","TestLogin","","","test_login_with_valid_credentials[amotoorisampletwo@gmail.com-secondtwo]",""
"passed","Tue Jul 16 18:11:48 BDT 2024","Tue Jul 16 18:11:50 BDT 2024","1169","tests","test_Login","TestLogin","","","test_login_with_valid_email_and_invalid_password",""
"passed","Tue Jul 16 18:11:10 BDT 2024","Tue Jul 16 18:11:13 BDT 2024","2776","tests","test_Login","TestLogin","","","test_login_with_valid_credentials[amotoorisamplethree@gmail.com-secondthree]",""
"passed","Tue Jul 16 18:12:12 BDT 2024","Tue Jul 16 18:12:13 BDT 2024","1039","tests","test_Login","TestLogin","","","test_login_without_entering_password",""
"passed","Tue Jul 16 18:12:45 BDT 2024","Tue Jul 16 18:12:50 BDT 2024","4071","tests","test_Register","TestRegister","","","test_register_with_all_field",""
"passed","Tue Jul 16 18:11:36 BDT 2024","Tue Jul 16 18:11:37 BDT 2024","1276","tests","test_Login","TestLogin","","","test_login_with_invalid_email_and_valid_password",""
"passed","Tue Jul 16 18:11:24 BDT 2024","Tue Jul 16 18:11:26 BDT 2024","1667","tests","test_Login","TestLogin","","","test_login_with_valid_credentials[kinam@gmail.com-123456]",""
"passed","Tue Jul 16 18:13:28 BDT 2024","Tue Jul 16 18:13:29 BDT 2024","448","tests","test_Search_Product","TestSearchProduct","","","test_search_for_a_invalid_product",""
"passed","Tue Jul 16 18:12:23 BDT 2024","Tue Jul 16 18:12:25 BDT 2024","1581","tests","test_Login","TestLogin","","","test_login_without_entering_email_and_password",""
"passed","Tue Jul 16 18:12:58 BDT 2024","Tue Jul 16 18:13:02 BDT 2024","3335","tests","test_Register","TestRegister","","","test_register_with_existing_email",""
"passed","Tue Jul 16 18:10:47 BDT 2024","Tue Jul 16 18:10:49 BDT 2024","1946","tests","test_Login","TestLogin","","","test_login_with_valid_credentials[amotoorisampleone@gmail.com-secondone]",""
"passed","Tue Jul 16 18:12:30 BDT 2024","Tue Jul 16 18:12:36 BDT 2024","5350","tests","test_Register","TestRegister","","","test_register_with_mandatory_field",""
